"Yearly Albedo
Decrease";"Effective Radiative Forcing
(W/m-2)";"Equiv. CO2e
PPM";"Equiv. CO2 Em.
(GTCO2)";"Temp Increase
(øC)"
0,00020;0,020;1,52;26;0,01
0,00040;0,041;3,07;53;0,02
0,00060;0,061;4,62;80;0,03
0,00080;0,082;6,18;107;0,05
0,00100;0,102;7,74;134;0,06
0,00120;0,122;9,31;161;0,07
0,00140;0,143;10,88;189;0,08
0,00160;0,163;12,47;216;0,09
0,00180;0,184;14,05;244;0,11
0,00200;0,204;15,65;271;0,12
0,00220;0,224;17,24;299;0,13
0,00240;0,245;18,85;327;0,14
0,00260;0,265;20,46;355;0,15
0,00280;0,286;22,08;383;0,17
0,00300;0,306;23,70;411;0,18
0,00320;0,326;25,33;439;0,19
0,00340;0,347;26,97;468;0,20
0,00360;0,367;28,61;496;0,21
0,00380;0,388;30,26;525;0,23
0,00400;0,408;31,92;554;0,24
0,00420;0,428;33,58;582;0,25
0,00440;0,449;35,24;611;0,26
0,00460;0,469;36,92;640;0,28
0,00480;0,490;38,60;669;0,29
0,00500;0,510;40,29;699;0,30
0,00520;0,530;41,98;728;0,31
0,00540;0,551;43,68;758;0,33
0,00560;0,571;45,39;787;0,34
0,00580;0,592;47,10;817;0,35
0,00600;0,612;48,82;847;0,37
0,00620;0,632;50,54;877;0,38
0,00640;0,653;52,28;907;0,39
0,00660;0,673;54,02;937;0,41
0,00680;0,694;55,76;967;0,42
0,00700;0,714;57,51;997;0,43
0,00720;0,734;59,27;1028;0,44
0,00740;0,755;61,04;1059;0,46
0,00760;0,775;62,81;1089;0,47
0,00780;0,796;64,59;1120;0,48
0,00800;0,816;66,38;1151;0,50
0,00820;0,836;68,17;1182;0,51
0,00840;0,857;69,97;1213;0,52
0,00860;0,877;71,78;1245;0,54
0,00880;0,898;73,59;1276;0,55
0,00900;0,918;75,41;1308;0,57
0,00920;0,938;77,24;1340;0,58
0,00940;0,959;79,07;1371;0,59
0,00960;0,979;80,91;1403;0,61
0,00980;1,000;82,76;1435;0,62
0,01000;1,020;84,62;1468;0,63
